,sgID,CRISPRoff-Rep1,CRISPRoff Rep2,CRISPRoff mut Rep1,CRISPRoff mut Rep2,gene,source_A,CRISPRoff_average,mutant_average,CpG,hit_and_run_hit,mutant_hit
19699,TMEM79_-_156252739.23-P1P2|TMEM79_-_156252827.23-P1P2,-0.703359294,-0.702996313,0.014478503,0.035887902,TMEM79,predicted,-0.703177803,0.025183203,FALSO,VERDADERO,FALSO
9037,FIS1_+_100888325.23-P1|FIS1_+_100888293.23-P1,-0.440353448,-0.867804351,-0.144673811,-0.122238676,FIS1,empirical,-0.6540789,-0.133456243,VERDADERO,VERDADERO,FALSO
3007,RAB4A_-_229406955.23-P1P2|RAB4A_-_229406931.23-P1P2,-0.318247284,-0.916982551,0.785013737,0.51284415,RAB4A,predicted,-0.617614917,0.648928944,VERDADERO,VERDADERO,FALSO
10871,CLDN8_+_31587998.23-P1P2|CLDN8_-_31588365.23-P1P2,-0.755213883,-0.426034621,-0.044409743,-0.056497878,CLDN8,empirical,-0.590624252,-0.050453811,FALSO,VERDADERO,FALSO
14505,PTPMT1_+_47587224.23-P1P2|PTPMT1_+_47587324.23-P1P2,-0.351478126,-0.816004408,-0.037366548,-0.036064931,PTPMT1,empirical,-0.583741267,-0.036715739,VERDADERO,VERDADERO,FALSO
16869,GINS4_-_41386776.23-P1P2|GINS4_-_41386785.23-P1P2,-0.449630578,-0.696401588,-0.039771644,-0.079692264,GINS4,empirical,-0.573016083,-0.059731954,VERDADERO,VERDADERO,FALSO
17222,KIAA1429_+_95565668.23-P1P2|KIAA1429_-_95565479.23-P1P2,-0.521228447,-0.622156013,0.047606067,-0.007142684,KIAA1429,empirical,-0.57169223,0.020231691,VERDADERO,VERDADERO,FALSO
10282,GTF3C6_-_111280005.23-P1P2|GTF3C6_-_111279978.23-P1P2,-0.575962009,-0.563876775,0.025291226,-0.01122071,GTF3C6,empirical,-0.569919392,0.007035258,VERDADERO,VERDADERO,FALSO
17648,CMIP_-_81478778.23-P1P2|CMIP_+_81478635.23-P1P2,-0.506677981,-0.610041296,-0.033836612,-0.012379255,CMIP,empirical,-0.558359639,-0.023107933,VERDADERO,VERDADERO,FALSO
10906,EMC2_+_109455869.23-P1P2|EMC2_-_109456069.23-P1P2,-0.463829975,-0.650044204,-0.031225992,-0.056209819,EMC2,empirical,-0.556937089,-0.043717905,VERDADERO,VERDADERO,FALSO
17159,ORC2_+_201828342.23-P1P2|ORC2_-_201828353.23-P1P2,-0.283861852,-0.787626901,0.008141764,0.027557472,ORC2,empirical,-0.535744376,0.017849618,VERDADERO,VERDADERO,FALSO
12722,NELFE_+_31926720.23-P1P2|NELFE_+_31926691.23-P1P2,-0.332334366,-0.726749798,-0.010543165,0.000344284,NELFE,empirical,-0.529542082,-0.005099441,VERDADERO,VERDADERO,FALSO
180,MCM6_+_136633947.23-P1P2|MCM6_+_136633964.23-P1P2,-0.312514042,-0.739847356,0.006088106,-0.188060381,MCM6,gamma,-0.526180699,-0.090986138,VERDADERO,VERDADERO,FALSO
20886,RPP40_-_5004221.23-P1P2|RPP40_+_5004190.23-P1P2,-0.559371837,-0.475439599,-0.164598023,-0.095682412,RPP40,gamma,-0.517405718,-0.130140218,VERDADERO,VERDADERO,FALSO
19881,LRR1_+_50065858.23-P1P2|LRR1_+_50065861.23-P1P2,-0.440071424,-0.591295864,-0.019888502,-0.010383808,LRR1,empirical,-0.515683644,-0.015136155,VERDADERO,VERDADERO,FALSO
18915,CHP1_-_41523705.23-P1P2|CHP1_+_41523440.23-P1P2,-0.442867344,-0.580108899,0.012965369,0.010783025,CHP1,empirical,-0.511488121,0.011874197,VERDADERO,VERDADERO,FALSO
18346,DUS2_-_68057581.23-P1P2|DUS2_-_68057192.23-P1P2,-0.655407847,-0.356575143,-0.064688391,-0.078028378,DUS2,empirical,-0.505991495,-0.071358384,VERDADERO,VERDADERO,FALSO
1307,ZNF578_-_52956839.23-P1P2|ZNF578_-_52956851.23-P1P2,-0.834901596,-0.175683372,0.536377331,0.474400622,ZNF578,predicted,-0.505292484,0.505388977,VERDADERO,VERDADERO,FALSO
20842,COPS5_-_67974403.23-P1P2|COPS5_-_67973934.23-P1P2,-0.423651772,-0.583393493,0.003357006,-0.147939707,COPS5,empirical,-0.503522632,-0.072291351,VERDADERO,VERDADERO,FALSO
20444,PRPF38B_+_109235390.23-P1P2|PRPF38B_+_109234979.23-P1P2,-0.462280582,-0.542425043,-0.031407402,-0.103015716,PRPF38B,empirical,-0.502352812,-0.067211559,VERDADERO,VERDADERO,FALSO
11490,SNAPC1_-_62229148.23-P1P2|SNAPC1_-_62229166.23-P1P2,-0.606143371,-0.396660803,-0.081553441,-0.051223945,SNAPC1,empirical,-0.501402087,-0.066388693,VERDADERO,VERDADERO,FALSO
18071,SRP19_+_112197012.23-P1P2|SRP19_+_112197015.23-P1P2,-0.432539927,-0.569787557,-0.049483674,-0.049800369,SRP19,empirical,-0.501163742,-0.049642021,VERDADERO,VERDADERO,FALSO
18581,M1AP_+_74875419.23-P1P2|M1AP_+_74875385.23-P1P2,-0.593542492,-0.406336228,-0.221703836,-0.186236666,M1AP,empirical,-0.49993936,-0.203970251,VERDADERO,VERDADERO,VERDADERO
7334,AP5M1_-_57735937.23-P1P2|AP5M1_-_57735787.23-P1P2,-0.552154248,-0.444515033,-0.032953707,-0.021719254,AP5M1,predicted,-0.498334641,-0.02733648,VERDADERO,VERDADERO,FALSO
40,ATXN10_-_46067769.23-P1P2|ATXN10_+_46067906.23-P1P2,-0.471208372,-0.517022472,-0.020887754,-0.036383841,ATXN10,gamma,-0.494115422,-0.028635798,VERDADERO,VERDADERO,FALSO
17823,BCCIP_-_127512165.23-P1P2|BCCIP_+_127512151.23-P1P2,-0.527859455,-0.458224634,-0.16962345,-0.172537177,BCCIP,empirical,-0.493042045,-0.171080313,VERDADERO,VERDADERO,FALSO
12657,ATP2A2_+_110719114.23-P1P2|ATP2A2_+_110719087.23-P1P2,-0.507694652,-0.474871993,-0.012512048,0.01426537,ATP2A2,empirical,-0.491283323,0.000876661,VERDADERO,VERDADERO,FALSO
17819,E4F1_-_2273621.23-P1P2|E4F1_-_2273656.23-P1P2,-0.58854601,-0.386685891,-0.5521351,-0.295105245,E4F1,empirical,-0.48761595,-0.423620173,VERDADERO,VERDADERO,VERDADERO
16017,FDX1L_-_10426637.23-P1P2|FDX1L_-_10426234.23-P1P2,-0.372397941,-0.601687121,-0.059044549,-0.097083848,FDX1L,empirical,-0.487042531,-0.078064199,VERDADERO,VERDADERO,FALSO
161,EXOC4_+_132937814.23-P1P2|EXOC4_-_132937863.23-P1P2,-0.468109647,-0.501203505,-0.083831486,-0.047368286,EXOC4,gamma,-0.484656576,-0.065599886,FALSO,VERDADERO,FALSO
10611,COTL1_+_84651284.23-P1P2|COTL1_+_84651438.23-P1P2,-0.487773968,-0.480829716,-0.08742993,-0.112007429,COTL1,empirical,-0.484301842,-0.09971868,VERDADERO,VERDADERO,FALSO
16025,DAD1_+_23058092.23-P1P2|DAD1_+_23058056.23-P1P2,-0.4797628,-0.488094072,-0.029350387,-0.028042768,DAD1,empirical,-0.483928436,-0.028696578,VERDADERO,VERDADERO,FALSO
6911,SHQ1_+_72897533.23-P1P2|SHQ1_+_72897517.23-P1P2,-0.36981842,-0.597112805,0.082229791,-0.066183569,SHQ1,predicted,-0.483465612,0.008023111,VERDADERO,VERDADERO,FALSO
15985,GEMIN8_-_14047941.23-P1P2|GEMIN8_-_14047956.23-P1P2,-0.4727948,-0.491517139,-0.100523808,-0.113928886,GEMIN8,empirical,-0.48215597,-0.107226347,VERDADERO,VERDADERO,FALSO
18675,CPSF6_+_69633482.23-P1P2|CPSF6_+_69633592.23-P1P2,-0.365604115,-0.591807802,-0.117383769,-0.126849607,CPSF6,empirical,-0.478705959,-0.122116688,VERDADERO,VERDADERO,FALSO
4324,ANLN_-_36429483.23-P1P2|ANLN_-_36429499.23-P1P2,-0.472972639,-0.474628057,-0.189441144,-0.164534321,ANLN,empirical,-0.473800348,-0.176987733,VERDADERO,VERDADERO,FALSO
