#hg19.knownGene.chrom	hg19.knownGene.txStart	hg19.kgXref.geneSymbol
chr1	69090	OR4F5
chr1	860529	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	874654	SAMD11
chr1	861120	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	861301	SAMD11
chr1	876523	SAMD11
chr1	879582	NOC2L
chr1	879582	NOC2L
chr1	879582	NOC2L
chr1	879582	NOC2L
chr1	893648	NOC2L
chr1	896828	KLHL17
chr1	897008	KLHL17
chr1	897734	KLHL17
chr1	895966	KLHL17
chr1	897460	KLHL17
chr1	901876	PLEKHN1
chr1	901876	PLEKHN1
chr1	901876	PLEKHN1
chr1	934341	HES4
chr1	934341	HES4
chr1	948846	ISG15
chr1	955502	AGRN
chr1	1007196	RNF223
chr1	1007125	RNF223
chr1	1017197	C1orf159
chr1	1017197	C1orf159
chr1	1017197	C1orf159
chr1	1017197	C1orf159
chr1	1017197	C1orf159
chr1	1017197	C1orf159
chr1	1115076	TTLL10
chr1	1109285	TTLL10
chr1	1109285	TTLL10
chr1	1138887	TNFRSF18
chr1	1138887	TNFRSF18
chr1	1138887	TNFRSF18
chr1	1138887	TNFRSF18
chr1	1146705	TNFRSF4
chr1	1146719	TNFRSF4
chr1	1152287	SDF4
chr1	1158103	SDF4
chr1	1152287	SDF4
chr1	1152287	SDF4
chr1	1152287	SDF4
chr1	1167628	B3GALT6
chr1	1177825	C1QTNF12
chr1	1189291	UBE2J2
chr1	1189291	UBE2J2
chr1	1189291	UBE2J2
chr1	1189291	UBE2J2
chr1	1189291	UBE2J2
chr1	1215815	SCNN1D
chr1	1215815	SCNN1D
chr1	1217488	SCNN1D
chr1	1217488	SCNN1D
chr1	1217536	SCNN1D
chr1	1227763	ACAP3
chr1	1227763	ACAP3
chr1	1227763	ACAP3
chr1	1234123	ACAP3
chr1	1243993	PUSL1
chr1	1243993	PUSL1
chr1	1244465	PUSL1
chr1	1246964	INTS11
chr1	1246964	INTS11
chr1	1246964	INTS11
chr1	1246964	INTS11
chr1	1246964	INTS11
chr1	1246964	INTS11
chr1	1246964	INTS11
chr1	1246964	INTS11
chr1	1246964	INTS11
chr1	1254060	INTS11
chr1	1254076	INTS11
chr1	1260142	CPTP
chr1	1266725	TAS1R3
chr1	1270657	DVL1
chr1	1270657	DVL1
chr1	1270657	DVL1
chr1	1288070	MXRA8
chr1	1288070	MXRA8
chr1	1288070	MXRA8
chr1	1288070	MXRA8
chr1	1288070	MXRA8
chr1	1309109	AURKAIP1
chr1	1309109	AURKAIP1
chr1	1309109	AURKAIP1
chr1	1309109	AURKAIP1
chr1	1321090	CCNL2
chr1	1321090	CCNL2
chr1	1321090	CCNL2
chr1	1321090	CCNL2
chr1	1321090	CCNL2
chr1	1326145	CCNL2
chr1	1337275	MRPL20
chr1	1340412	MRPL20
chr1	1353799	ANKRD65
chr1	1353799	ANKRD65
chr1	1353799	ANKRD65
chr1	1361507	TMEM88B
chr1	1370902	VWA1
chr1	1370902	VWA1
chr1	1385068	ATAD3C
chr1	1413405	ATAD3B
chr1	1407163	ATAD3B
chr1	1413405	ATAD3B
chr1	1421161	ATAD3B
chr1	1447522	ATAD3A
chr1	1447522	ATAD3A
chr1	1447909	ATAD3A
chr1	1470157	TMEM240
chr1	1477052	SSU72
chr1	1478559	SSU72
chr1	1497731	SSU72
chr1	1533387	FNDC10
chr1	1550794	MIB2
chr1	1551244	MIB2
chr1	1550794	MIB2
chr1	1550794	MIB2
chr1	1550794	MIB2
chr1	1550794	MIB2
chr1	1550794	MIB2
chr1	1551244	MIB2
chr1	1551689	MIB2
chr1	1559153	MIB2
chr1	1560370	MIB2
chr1	1564485	MIB2
chr1	1567559	MMP23B
chr1	1567559	MMP23B
chr1	1568161	MMP23B
chr1	1568566	MMP23B
chr1	1571099	CDK11B
chr1	1577746	CDK11B
chr1	1586822	CDK11B
chr1	1592938	SLC35E2B
chr1	1601213	SLC35E2B
chr1	1590987	SLC35E2B
chr1	1592938	SLC35E2B
chr1	1592938	SLC35E2B
chr1	1601876	SLC35E2B
chr1	1631377	MMP23A
chr1	1631785	MMP23A
chr1	1634169	CDK11A
chr1	1634169	CDK11A
chr1	1634169	RP1-283E3.8
chr1	1571099	CDK11B
chr1	1571099	CDK11B
chr1	1647784	CDK11A
chr1	1647784	CDK11A
chr1	1640956	CDK11A
chr1	1647784	CDK11A
chr1	1571099	CDK11B
chr1	1571099	CDK11B
chr1	1571099	CDK11B
chr1	1571099	CDK11B
chr1	1571099	CDK11B
chr1	1571099	CDK11B
chr1	1634169	CDK11A
chr1	1634169	CDK11A
chr1	1635662	CDK11A
chr1	1635988	CDK11A
chr1	1637080	CDK11A
chr1	1640232	CDK11A
chr1	1640232	CDK11A
chr1	1640232	CDK11A
chr1	1592938	SLC35E2B
chr1	1656276	RP1-283E3.8
chr1	1658823	RP1-283E3.8
chr1	1682670	NADK
chr1	1685548	NADK
chr1	1682670	NADK
chr1	1682670	NADK
chr1	1682670	NADK
chr1	1716724	GNB1
chr1	1716724	GNB1
chr1	1846265	CALML6
chr1	1849028	TMEM52
chr1	1849028	TMEM52
chr1	1853395	CFAP74
chr1	1853395	CFAP74
