chromosome,"Primary TSS, 3'",End
chr1,67591.0,70591.0
chr1,859621.0,862621.0
chr1,892149.0,895149.0
chr1,894467.0,897467.0
chr1,900377.0,903377.0
chr1,932842.0,935842.0
chr1,947347.0,950347.0
chr1,954003.0,957003.0
chr1,1005697.0,1008697.0
chr1,1015698.0,1018698.0
chr1,1113577.0,1116577.0
chr1,1137388.0,1140388.0
chr1,1145220.0,1148220.0
chr1,1156604.0,1159604.0
chr1,1166129.0,1169129.0
chr1,1180611.0,1183611.0
chr1,1187792.0,1190792.0
chr1,1216037.0,1219037.0
chr1,1232624.0,1235624.0
chr1,1242494.0,1245494.0
chr1,1258564.0,1261564.0
chr1,1258742.0,1261742.0
chr1,1265226.0,1268226.0
chr1,1269158.0,1272158.0
chr1,1286571.0,1289571.0
chr1,1307610.0,1310610.0
chr1,1324646.0,1327646.0
chr1,1338913.0,1341913.0
chr1,1352300.0,1355300.0
chr1,1360008.0,1363008.0
chr1,1369403.0,1372403.0
chr1,1383569.0,1386569.0
chr1,1405664.0,1408664.0
chr1,1446023.0,1449023.0
chr1,1468658.0,1471658.0
chr1,1496232.0,1499232.0
chr1,1534068.0,1537068.0
chr1,1549745.0,1552745.0
chr1,1566060.0,1569060.0
chr1,1585323.0,1588323.0
chr1,1600377.0,1603377.0
chr1,1646285.0,1649285.0
chr1,1676012.0,1679012.0
chr1,1684049.0,1687049.0
chr1,1715225.0,1718225.0
chr1,1844766.0,1847766.0
chr1,1847529.0,1850529.0
chr1,1933731.0,1936731.0
chr1,1949268.0,1952268.0
chr1,2003586.0,2006586.0
chr1,2124718.0,2127718.0
chr1,2158634.0,2161634.0
chr1,2307994.0,2310994.0
chr1,2321714.0,2324714.0
chr1,2334741.0,2337741.0
chr1,2406254.0,2409254.0
chr1,2438475.0,2441475.0
chr1,2458684.0,2461684.0
chr1,2486305.0,2489305.0
chr1,2516791.0,2519791.0
chr1,2520581.0,2523581.0
chr1,2571307.0,2574307.0
chr1,2936546.0,2939546.0
chr1,2984242.0,2987242.0
chr1,3369647.0,3372647.0
chr1,3403006.0,3406006.0
chr1,3540088.0,3543088.0
chr1,3546961.0,3549961.0
chr1,3567559.0,3570559.0
chr1,3667465.0,3670465.0
chr1,3687620.0,3690620.0
chr1,3695284.0,3698284.0
chr1,3748735.0,3751735.0
chr1,3772345.0,3775345.0
chr1,3807373.0,3810373.0
chr1,4713605.0,4716605.0
chr1,5945055.0,5948055.0
chr1,6050858.0,6053858.0
chr1,6179665.0,6182665.0
chr1,6243580.0,6246580.0
chr1,6264689.0,6267689.0
chr1,6279753.0,6282753.0
chr1,6302752.0,6305752.0
chr1,6305906.0,6308906.0
chr1,6322832.0,6325832.0
